satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,departments,salary,left
0.108,0.982,2,113,8,0,0,technical,high,1
0.916,0.964,3,142,5,1,1,IT,medium,0
0.23,0.143,3,244,6,1,0,IT,medium,1
0.037,0.715,2,283,4,0,1,support,medium,1
0.555,0.601,2,216,9,0,0,management,high,0
0.371,0.691,5,118,2,1,0,RandD,low,1
0.83,0.096,5,296,9,1,0,support,medium,1
0.808,0.189,2,269,3,0,1,RandD,high,0
0.317,0.077,7,178,9,0,1,accounting,medium,1
0.953,0.604,2,213,1,0,1,marketing,low,0
0.291,0.987,6,311,1,0,0,management,medium,0
0.515,0.672,6,170,1,1,1,management,high,0
0.256,0.711,5,86,6,0,0,product_mng,high,1
0.936,0.985,4,114,3,1,1,product_mng,low,0
0.165,0.678,2,224,6,0,1,support,medium,0
0.045,0.04,3,319,9,1,0,accounting,high,1
0.435,0.867,7,257,1,1,0,management,low,0
0.992,0.365,4,228,6,0,0,RandD,low,0
0.892,0.004,2,157,8,1,1,support,low,0
0.749,0.507,6,185,5,1,1,marketing,medium,0
0.891,0.937,6,89,10,1,0,accounting,medium,1
0.893,0.257,2,169,7,0,1,sales,low,0
0.519,0.492,2,229,1,0,1,marketing,low,0
0.316,0.174,2,297,6,1,0,RandD,medium,1
0.772,0.058,2,301,4,0,1,marketing,high,0
0.662,0.081,5,277,2,1,0,RandD,low,0
0.374,0.727,2,85,10,1,0,hr,medium,0
0.094,0.864,5,274,3,0,0,technical,high,1
0.747,0.143,3,132,1,0,0,marketing,medium,0
0.262,0.288,7,227,3,1,0,accounting,medium,0
0.937,0.195,6,307,9,0,0,hr,low,1
0.241,0.027,4,293,6,0,0,product_mng,high,1
0.123,0.553,4,239,9,1,1,management,high,1
0.831,0.7,2,151,5,0,0,IT,high,0
0.153,0.648,2,205,2,0,1,product_mng,high,0
0.179,0.388,5,248,4,0,0,hr,medium,1
0.599,0.555,2,203,2,0,0,product_mng,medium,0
0.875,0.094,5,177,6,0,1,IT,high,0
0.196,0.154,4,176,3,0,0,marketing,low,0
0.31,0.932,2,223,10,1,1,RandD,low,0
0.777,0.762,5,88,4,0,1,management,low,0
0.972,0.923,5,319,4,1,0,RandD,medium,1
0.501,0.917,6,104,10,0,1,technical,low,1
0.144,0.649,3,316,6,1,0,sales,medium,1
0.014,0.928,5,88,2,0,1,management,medium,0
0.23,0.417,7,203,5,1,0,product_mng,high,1
0.132,0.004,3,180,3,0,0,support,medium,1
0.678,0.063,7,217,8,1,1,support,low,1
0.122,0.109,6,184,6,1,0,technical,high,1
0.506,0.095,4,295,8,0,1,technical,medium,1
0.694,0.352,7,83,10,1,1,accounting,low,1
0.581,0.701,7,316,8,0,1,RandD,medium,1
0.2,0.791,3,245,4,0,0,marketing,low,1
0.804,0.59,7,266,3,0,1,sales,medium,0
0.715,0.146,2,113,6,1,0,RandD,high,0
0.739,0.748,2,95,5,1,0,management,low,0
0.131,0.355,2,175,4,1,0,management,high,0
0.124,0.013,4,157,9,1,0,IT,medium,1
0.928,0.281,7,267,10,1,0,RandD,high,1
0.398,0.331,5,295,4,1,0,support,high,1
0.301,0.274,5,182,7,1,1,hr,high,1
0.489,0.812,2,264,10,0,0,management,low,1
0.663,0.76,5,94,1,1,0,support,high,0
0.956,0.696,4,258,4,0,0,product_mng,medium,1
0.286,0.139,4,103,8,0,1,support,high,0
0.925,0.808,3,240,5,1,1,RandD,high,0
0.025,0.677,3,171,8,0,0,support,medium,0
0.555,0.195,7,179,5,0,0,RandD,high,1
0.634,0.648,5,146,1,1,1,management,medium,0
0.106,0.484,4,176,5,1,1,hr,low,0
0.14,0.439,2,289,5,0,1,technical,high,1
0.419,0.112,6,274,9,0,0,technical,medium,1
0.966,0.518,4,161,2,0,0,hr,low,0
0.596,0.1,4,150,2,0,0,sales,low,0
0.933,0.164,6,202,2,0,0,product_mng,high,0
0.804,0.133,2,244,6,1,1,management,high,0
0.467,0.954,5,123,10,0,1,product_mng,high,0
0.785,0.285,7,254,7,1,0,sales,medium,0
0.018,0.355,4,307,9,0,1,management,low,1
0.109,0.322,2,282,9,1,0,accounting,medium,1
0.829,0.898,3,211,7,1,1,IT,low,0
0.797,0.563,2,156,7,0,0,RandD,low,0
0.233,0.919,5,157,3,1,1,RandD,low,0
0.531,0.3,4,258,10,0,1,marketing,medium,1
0.606,0.115,2,189,8,1,0,management,low,1
0.868,0.556,6,105,9,1,0,accounting,low,0
0.603,0.346,3,242,10,1,1,support,low,1
0.413,0.802,4,113,4,1,1,management,high,0
0.374,0.879,7,316,2,1,0,management,medium,1
0.426,0.473,2,180,9,0,1,sales,medium,0
0.652,0.971,3,162,5,0,0,support,medium,0
0.867,0.553,3,93,10,1,1,RandD,medium,0
0.454,0.271,5,120,7,1,1,hr,medium,0
0.248,0.489,3,307,3,0,0,accounting,high,0
0.237,0.037,7,208,4,1,0,marketing,high,1
0.746,0.804,2,296,7,0,1,IT,low,0
0.817,0.101,7,309,4,0,1,sales,high,1
0.105,0.309,5,91,3,1,0,hr,low,0
0.067,0.565,2,171,3,1,1,marketing,low,0
0.594,0.043,2,281,7,1,1,product_mng,medium,0
0.146,0.079,2,198,1,1,0,management,medium,0
0.825,0.696,3,202,1,0,1,technical,high,0
0.31,0.072,3,216,1,1,0,support,high,0
0.144,0.477,5,248,8,0,0,hr,low,1
0.921,0.339,3,305,1,1,0,support,medium,0
0.166,0.228,6,292,5,1,0,management,high,0
0.285,0.189,3,230,2,0,0,hr,high,1
0.154,0.763,3,218,6,1,1,sales,medium,0
0.115,0.952,3,166,1,0,0,product_mng,medium,0
0.021,0.14,3,107,1,1,1,accounting,medium,0
0.055,0.96,7,250,5,0,0,product_mng,low,0
0.175,0.595,3,80,7,0,1,support,medium,0
0.053,0.642,3,247,2,1,1,sales,high,0
0.591,0.71,7,199,5,1,0,sales,low,1
0.681,0.704,5,268,9,0,0,technical,high,1
0.394,0.82,3,307,7,1,1,support,low,0
0.318,0.483,7,212,8,1,0,IT,low,1
0.505,0.533,3,217,4,1,1,hr,high,0
0.875,0.324,2,196,10,1,1,marketing,medium,0
0.851,0.105,4,169,2,0,1,technical,medium,0
0.043,0.665,6,101,7,1,0,sales,medium,1
0.181,0.034,3,87,5,1,0,technical,medium,0
0.237,0.276,6,253,1,1,1,IT,medium,1
0.249,0.094,2,299,10,1,1,accounting,high,1
0.571,0.191,6,92,8,1,1,sales,medium,0
0.416,0.639,2,158,3,1,1,product_mng,low,0
0.049,0.628,4,225,1,1,0,product_mng,low,1
0.374,0.421,5,249,7,1,0,technical,medium,1
0.524,0.09,3,256,6,1,1,sales,medium,0
0.102,0.433,5,246,1,1,0,support,medium,1
0.833,0.353,6,100,10,0,1,technical,low,0
0.052,0.72,5,140,8,0,0,accounting,low,1
0.925,0.579,4,192,5,1,0,management,low,0
0.099,0.492,6,95,3,0,0,RandD,high,0
0.844,0.487,6,162,3,1,1,accounting,medium,0
0.903,0.966,3,172,5,1,1,accounting,high,0
0.98,0.756,6,314,1,0,1,hr,medium,0
0.802,0.497,7,156,4,0,0,sales,low,0
0.779,0.479,6,313,3,0,0,management,medium,1
0.642,0.026,6,248,2,0,1,product_mng,high,0
0.779,0.943,6,246,2,1,1,marketing,medium,0
0.135,0.319,6,276,4,1,0,accounting,low,1
0.536,0.256,3,282,4,0,0,product_mng,low,1
0.514,0.999,6,133,4,0,1,support,high,0
0.858,0.719,3,181,7,0,0,sales,low,1
0.463,0.047,4,206,6,1,1,technical,high,0
0.385,0.062,7,314,2,1,0,sales,high,1
0.64,0.026,3,89,10,0,1,IT,low,1
0.266,0.6,7,194,8,1,1,accounting,medium,1
0.14,0.072,4,131,5,0,1,IT,medium,0
0.478,0.933,3,129,1,1,1,marketing,high,0
0.417,0.937,2,262,10,0,0,technical,high,0
0.233,0.546,5,128,8,1,0,marketing,low,0
0.368,0.617,4,270,5,1,1,management,low,0
0.366,0.292,5,318,2,0,0,IT,high,0
0.327,0.064,2,266,2,1,1,product_mng,medium,0
0.379,0.737,3,120,3,1,1,management,low,0
0.686,0.102,2,114,3,0,0,RandD,medium,0
0.297,0.086,3,184,3,0,0,IT,low,0
0.949,0.311,7,212,5,0,1,technical,low,0
0.916,0.012,2,266,1,1,0,management,high,0
0.481,0.434,6,181,4,0,0,RandD,low,0
0.328,0.708,2,120,9,0,0,sales,high,0
0.535,0.801,5,317,9,1,1,marketing,low,0
0.849,0.604,7,297,1,1,1,management,low,1
0.653,0.847,4,236,7,1,0,management,high,0
0.804,0.407,3,246,10,0,1,technical,low,0
0.533,0.849,5,304,6,1,1,product_mng,medium,1
0.633,0.506,3,193,4,0,0,management,medium,0
0.288,0.223,7,114,5,0,0,accounting,medium,0
0.735,0.944,7,225,3,1,0,marketing,medium,1
0.202,0.275,5,188,4,1,0,IT,low,0
0.695,0.026,5,271,10,1,0,accounting,low,1
0.861,0.243,5,265,7,0,0,marketing,low,0
0.132,0.367,6,193,5,1,1,marketing,low,0
0.614,0.351,4,168,2,0,1,management,medium,0
0.095,0.525,7,181,10,0,1,IT,medium,1
0.726,0.883,4,231,2,0,0,RandD,low,0
0.084,0.292,2,232,8,1,0,sales,low,1
0.936,0.521,6,202,4,0,1,accounting,high,0
0.137,0.34,5,207,3,1,0,marketing,low,1
0.959,0.822,7,318,2,0,1,hr,medium,0
0.801,0.158,4,140,4,1,1,IT,high,0
0.594,0.104,4,121,7,1,1,management,high,0
0.783,0.503,5,271,5,1,0,marketing,high,0
0.795,0.672,4,304,1,0,0,support,medium,1
0.946,0.796,6,226,3,0,0,technical,medium,1
0.253,0.59,4,176,2,1,1,technical,high,1
0.59,0.774,6,163,5,0,0,IT,high,1
0.095,0.393,4,192,10,1,1,marketing,low,1
0.616,0.033,3,92,10,0,1,hr,high,0
0.171,0.116,7,206,10,1,0,management,high,1
0.565,0.039,5,144,2,0,0,RandD,high,1
0.572,0.329,6,143,5,0,0,product_mng,low,0
0.466,0.495,5,214,1,0,0,RandD,medium,0
0.523,0.356,4,311,5,1,1,IT,low,1
0.764,0.561,7,129,6,1,1,support,low,0
0.799,0.481,4,298,8,0,0,marketing,medium,0
0.492,0.678,7,204,4,0,1,hr,low,1
0.6,0.667,4,313,1,0,0,sales,low,0
0.931,0.318,2,171,5,1,0,technical,low,0
0.12,0.346,2,319,5,0,0,technical,medium,0
0.117,0.585,7,238,7,0,0,support,low,1
0.088,0.596,5,240,1,1,1,technical,high,1
0.658,0.315,4,215,7,1,1,technical,high,0
0.419,0.33,6,188,5,1,1,sales,high,0
0.774,0.694,5,206,8,1,0,IT,high,1
0.671,0.647,5,284,10,1,1,accounting,medium,1
0.334,0.135,6,270,3,1,1,technical,medium,1
0.898,0.441,3,85,8,1,1,IT,high,0
0.763,0.893,2,246,2,1,1,management,medium,0
0.271,0.036,6,280,10,1,0,technical,medium,1
0.364,0.855,2,258,5,0,0,management,medium,0
0.314,0.163,6,199,8,1,0,marketing,low,0
0.158,0.507,2,160,8,1,0,accounting,high,0
0.148,0.424,3,241,7,1,0,IT,high,1
0.936,0.01,6,239,4,1,0,IT,high,0
0.438,0.915,5,169,8,0,0,IT,low,1
0.383,0.455,6,177,5,0,0,technical,high,1
0.73,0.954,5,168,7,1,0,IT,low,0
0.553,0.287,2,90,7,1,0,hr,low,0
0.936,0.866,7,87,5,1,1,sales,low,1
0.78,0.922,3,99,2,1,0,marketing,low,0
0.479,0.557,2,181,3,1,0,RandD,low,0
0.376,0.203,7,202,10,0,1,technical,high,1
0.987,0.685,3,178,6,0,0,technical,low,0
0.718,0.549,5,309,7,1,1,marketing,high,0
0.951,0.945,4,133,3,0,0,support,low,0
0.118,0.439,6,174,8,0,0,management,medium,1
0.851,0.269,2,139,5,1,0,technical,medium,0
0.637,0.138,2,151,3,1,0,technical,high,0
0.122,0.699,4,220,2,0,0,IT,high,1
0.588,0.974,4,154,4,0,1,IT,high,0
0.686,0.028,6,156,6,0,0,technical,high,1
0.012,0.74,5,240,3,0,1,RandD,low,1
0.454,0.927,2,279,3,1,0,IT,low,0
0.825,0.075,7,131,3,0,1,marketing,medium,0
0.295,0.11,4,106,3,1,1,support,low,0
0.459,0.692,7,137,8,0,1,sales,medium,0
0.442,0.648,7,218,5,1,1,sales,medium,1
0.302,0.069,2,310,5,0,1,sales,low,1
0.918,0.834,5,118,2,1,1,hr,low,1
0.781,0.523,4,90,6,1,0,support,high,0
0.111,0.907,4,206,10,0,1,IT,medium,1
0.997,0.878,3,317,8,0,0,marketing,high,1
0.879,0.813,5,212,5,0,1,sales,medium,0
0.284,0.516,4,301,4,0,0,RandD,medium,1
0.837,0.252,3,234,4,1,1,marketing,high,0
0.106,0.506,3,87,1,1,0,accounting,low,0
0.999,0.101,2,182,1,0,1,technical,low,0
0.666,0.659,7,264,8,0,0,sales,high,1
0.65,0.134,6,202,9,1,1,accounting,high,1
0.09,0.511,4,126,10,1,0,IT,low,1
0.897,0.054,4,123,7,1,0,sales,medium,0
0.029,0.3,2,239,10,1,0,marketing,medium,1
0.241,0.232,3,191,5,1,0,product_mng,high,0
0.143,0.62,7,217,3,1,0,management,medium,1
0.777,0.787,2,169,3,1,0,management,low,0
0.198,0.057,2,161,3,0,0,marketing,high,1
0.911,0.85,7,239,8,1,0,technical,high,1
0.656,0.861,5,81,1,0,1,accounting,medium,0
0.036,0.342,2,184,10,1,1,support,high,0
0.005,0.659,4,168,8,1,0,hr,low,1
0.052,0.403,6,267,4,0,0,RandD,low,1
0.606,0.154,4,254,8,0,0,IT,high,0
0.801,0.529,4,182,2,0,1,management,medium,0
0.239,0.086,5,143,5,1,1,marketing,low,0
0.849,0.878,5,136,2,0,1,IT,high,0
0.057,0.924,7,130,2,0,0,technical,low,1
0.801,0.822,3,145,1,1,0,RandD,low,0
0.928,0.563,3,262,8,1,0,support,medium,0
0.772,0.558,2,90,8,0,0,technical,medium,1
0.698,0.985,5,86,9,0,1,technical,high,0
0.838,0.248,5,209,10,1,0,RandD,medium,1
0.04,0.076,4,133,10,1,0,management,low,1
0.202,0.562,6,279,10,1,0,support,high,1
0.125,0.329,4,260,1,0,0,support,medium,0
0.505,0.322,3,264,8,0,1,RandD,low,1
0.745,0.007,5,189,8,0,1,technical,medium,0
0.63,0.596,4,185,2,1,1,sales,medium,0
0.851,0.264,4,182,2,0,0,RandD,medium,0
0.155,0.188,4,127,10,0,1,marketing,low,1
0.735,0.04,7,216,9,0,0,sales,medium,1
0.193,0.364,3,287,4,0,1,support,medium,0
0.271,0.879,3,141,1,1,0,technical,high,0
0.71,0.337,5,93,4,0,1,RandD,high,0
0.98,0.679,2,215,1,1,0,RandD,high,0
0.612,0.757,2,175,7,0,1,accounting,medium,0
0.055,0.328,5,271,4,0,1,sales,medium,1
0.616,0.822,5,285,1,1,0,hr,medium,1
0.042,0.692,5,308,10,1,1,support,low,1
0.884,0.559,2,174,9,1,0,management,low,0
0.71,0.001,7,296,10,0,0,hr,high,0
0.173,0.035,4,108,10,1,0,product_mng,low,0
0.092,0.991,2,169,1,0,1,accounting,high,0
0.184,0.782,3,143,8,1,1,RandD,high,1
0.98,0.938,3,301,8,0,0,accounting,high,1
0.459,0.902,4,224,8,1,1,sales,low,1
0.784,0.02,4,167,3,0,1,sales,medium,0
0.636,0.792,4,116,4,1,1,management,high,0
0.572,0.451,4,267,10,0,0,accounting,medium,0
0.145,0.79,7,237,1,1,1,RandD,medium,0
0.946,0.007,7,284,7,1,1,IT,high,1
0.301,0.288,4,185,8,0,1,product_mng,high,0
0.578,0.751,7,115,8,0,1,IT,low,0
0.7,0.793,6,160,6,1,0,product_mng,low,0
0.649,0.62,6,228,8,1,1,RandD,medium,1
0.941,0.301,3,137,10,1,0,accounting,medium,0
0.148,0.31,4,96,8,1,0,IT,high,1
0.508,0.967,4,277,2,0,1,hr,low,0
0.404,0.439,2,207,3,0,1,sales,low,0
0.474,0.447,2,175,4,0,1,hr,high,0
0.119,0.552,5,212,4,0,0,RandD,medium,0
0.134,0.41,4,257,4,0,1,marketing,high,1
0.278,0.553,6,80,3,1,1,IT,low,0
0.305,0.432,6,185,7,0,0,IT,medium,1
0.428,0.827,2,141,2,0,1,IT,medium,0
0.611,0.909,7,102,8,1,1,management,high,0
0.635,0.932,4,88,7,1,0,sales,low,0
0.412,0.564,5,185,10,0,1,RandD,low,0
0.409,0.442,7,210,1,1,0,management,medium,0
0.218,0.705,5,201,3,1,1,marketing,medium,1
0.588,0.838,2,267,9,1,1,RandD,high,1
0.317,0.563,3,189,5,1,0,marketing,high,1
0.036,0.7,4,221,6,1,0,marketing,low,1
0.418,0.75,2,275,1,0,1,RandD,low,0
0.474,0.676,3,237,8,1,1,management,medium,1
0.226,0.746,6,298,3,1,1,accounting,high,1
0.572,0.209,2,133,10,1,0,hr,medium,0
0.566,0.498,3,268,4,1,1,marketing,high,0
0.702,0.588,5,247,2,1,0,accounting,low,0
0.648,0.002,2,219,6,1,1,hr,high,0
0.652,0.856,3,80,5,0,0,support,low,0
0.316,0.61,7,209,5,0,1,hr,high,0
0.787,0.129,5,286,10,0,1,RandD,high,1
0.549,0.816,7,234,4,1,1,product_mng,low,1
0.431,0.717,4,81,4,1,0,accounting,low,0
0.626,0.758,5,149,7,0,1,technical,medium,0
0.361,0.392,3,216,2,0,1,RandD,high,0
0.513,0.854,4,274,9,0,0,marketing,low,1
0.737,0.414,3,186,3,0,1,hr,low,0
0.886,0.571,6,285,3,0,0,RandD,high,1
0.921,0.001,3,271,1,0,1,marketing,high,0
0.504,0.645,3,144,4,0,0,marketing,low,0
0.52,0.718,4,126,6,1,1,marketing,high,0
0.8,0.567,4,296,8,1,1,hr,high,1
0.314,0.497,3,221,9,1,1,accounting,high,0
0.837,0.81,4,283,8,0,0,sales,low,1
0.494,0.681,3,301,4,1,0,marketing,high,0
0.116,0.278,7,181,9,1,0,support,low,1
0.072,0.959,5,90,2,1,0,technical,low,1
0.842,0.707,7,298,3,0,1,hr,low,1
0.056,0.988,7,220,4,1,1,hr,medium,0
0.281,0.971,5,108,6,1,1,management,high,0
0.334,0.919,6,207,3,1,1,IT,low,0
0.173,0.755,2,86,10,0,0,product_mng,low,1
0.314,0.609,7,149,3,1,1,accounting,low,0
0.743,0.172,4,163,4,1,0,technical,low,0
0.015,0.543,6,189,7,0,1,sales,high,1
0.827,0.765,3,215,5,1,1,product_mng,low,0
0.857,0.521,2,281,5,1,1,RandD,low,0
0.372,0.868,7,164,10,0,0,product_mng,low,1
0.154,0.11,4,256,5,1,1,support,low,1
0.601,0.381,2,306,2,1,0,marketing,high,0
0.12,0.506,5,259,8,0,1,management,low,1
0.365,0.432,2,141,8,0,0,support,medium,1
0.958,0.109,4,242,3,1,0,product_mng,medium,0
0.995,0.154,6,147,9,1,0,IT,low,1
0.772,0.838,6,194,4,0,0,support,medium,0
0.311,0.484,4,232,2,1,1,RandD,low,0
0.688,0.049,4,150,2,0,1,IT,medium,0
0.705,0.016,7,80,8,0,0,RandD,low,1
0.388,0.473,3,280,3,1,0,sales,medium,0
0.641,0.164,2,254,5,0,1,RandD,medium,0
0.011,0.705,2,109,8,1,1,technical,medium,0
0.209,0.795,6,170,9,0,0,IT,low,1
0.525,0.228,4,142,5,1,0,hr,high,0
0.164,0.592,2,314,10,1,0,IT,low,1
0.166,0.154,3,306,4,0,0,RandD,low,1
0.836,0.304,2,245,9,1,0,IT,low,0
0.989,0.889,6,185,3,0,1,management,high,0
0.556,0.544,4,92,1,0,1,management,low,0
0.839,0.886,2,139,8,0,0,management,medium,0
0.99,0.225,3,102,8,0,0,IT,high,1
